target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,fl_inst_resp_keys,fl_inst_resp_rt,sound_1_started,sound_1_stopped,image_4_started,image_4_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,id_,date,expName,psychopyVersion,frameRate
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,16,88,10,,NaN,NaN,,NaN,,NaN,,main,1,1,2,neutral,neutral,k,k,1,0.667139800032601,350.433097500005,351.448440900014,351.431893200031,None,350.433097500005,None,350.433097500005,None,350.433097500005,None,352.098420010012,None,352.098420010012,None,352.098420010012,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,17,89,12,,NaN,NaN,,NaN,,NaN,,main,2,2,2,neutral,negative,l,l,1,0.715025199984666,352.102081900055,353.115099400049,353.098552300013,None,352.102081900055,None,352.102081900055,None,352.102081900055,None,353.814945410012,None,353.814945410012,None,353.814945410012,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,0,90,1,,NaN,NaN,,NaN,,NaN,,main,2,2,1,neutral,neutral,k,k,1,0.729448800033424,353.81850600004,354.829525900015,354.815153600008,None,353.81850600004,None,353.81850600004,None,353.81850600004,None,355.54608161003,None,355.54608161003,None,355.54608161003,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
positive,negative,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,1,91,5,,NaN,NaN,,NaN,,NaN,,main,1,1,1,negative,positive,j,j,1,0.9315687000053,355.565085300012,356.579146600037,356.545860400016,None,355.565085300012,None,355.565085300012,None,355.565085300012,None,357.479052610003,None,357.479052610003,None,357.479052610003,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
negative,positive,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,2,92,15,,NaN,NaN,,NaN,,NaN,,main,1,1,2,positive,negative,l,l,1,0.781983900000341,357.479108400003,358.479158900038,358.479158900038,None,357.479108400003,None,357.479108400003,None,357.479108400003,None,359.262718310003,None,359.262718310003,None,359.262718310003,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
negative,positive,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,3,93,6,,NaN,NaN,,NaN,,NaN,,main,2,2,1,positive,negative,l,l,1,0.900501900003292,359.266928200028,360.28163110005,360.265131900029,None,359.266928200028,None,359.266928200028,None,359.266928200028,None,361.164848610008,None,361.164848610008,None,361.164848610008,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,4,94,7,,NaN,NaN,,NaN,,NaN,,main,2,2,1,negative,neutral,k,k,1,0.729587600042578,361.168053200003,362.181544700055,362.164988000004,None,361.168053200003,None,361.168053200003,None,361.168053200003,None,362.895799910015,None,362.895799910015,None,362.895799910015,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,5,95,12,,NaN,NaN,,NaN,,NaN,,main,2,2,2,neutral,negative,l,l,1,0.664813500014134,362.902594600047,363.914850200003,363.898276600055,None,362.902594600047,None,362.902594600047,None,362.902594600047,None,364.562563110032,None,364.562563110032,None,364.562563110032,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,6,96,10,,NaN,NaN,,NaN,,NaN,,main,2,2,2,neutral,neutral,k,k,1,0.733344200009014,364.566194400017,365.581479200046,365.564885200001,None,364.566194400017,None,364.566194400017,None,364.566194400017,None,366.295331010019,None,366.295331010019,None,366.295331010019,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,7,97,8,,NaN,NaN,,NaN,,NaN,,main,1,1,1,neutral,positive,j,j,1,0.761959499970544,366.312290900038,367.31226440001,367.29558200005,None,366.312290900038,None,366.312290900038,None,366.312290900038,None,368.062161510001,None,368.062161510001,None,368.062161510001,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
negative,negative,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,8,98,0,,NaN,NaN,,NaN,,NaN,,main,1,1,1,negative,negative,l,l,1,0.784437499998603,368.062223200046,369.064959900046,369.064959900046,None,368.062223200046,None,368.062223200046,None,368.062223200046,None,369.84812161001,None,369.84812161001,None,369.84812161001,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,9,99,4,,NaN,NaN,,NaN,,NaN,,main,2,2,1,positive,neutral,k,k,1,0.762567900004797,369.851350500016,370.864845400036,370.848236700054,None,369.851350500016,None,369.851350500016,None,369.851350500016,None,371.612423010002,None,371.612423010002,None,371.612423010002,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
negative,negative,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,100,9,,NaN,NaN,,NaN,,NaN,,main,2,2,2,negative,negative,l,l,1,0.76481900003273,371.615674800007,372.614784600039,372.614784600039,None,371.615674800007,None,371.615674800007,None,371.615674800007,None,373.379079310055,None,373.379079310055,None,373.379079310055,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
positive,negative,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,11,101,14,,NaN,NaN,,NaN,,NaN,,main,1,1,2,negative,positive,j,j,1,0.698460199986584,373.395814700052,374.3957925,374.379128700006,None,373.395814700052,None,373.395814700052,None,373.395814700052,None,375.07903891005,None,375.07903891005,None,375.07903891005,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
positive,positive,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,12,102,11,,NaN,NaN,,NaN,,NaN,,main,1,1,2,positive,positive,j,j,1,0.631681800005026,375.082200100005,376.081403100048,376.081403100048,None,375.082200100005,None,375.082200100005,None,375.082200100005,None,376.712314510025,None,376.712314510025,None,376.712314510025,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,13,103,3,,NaN,NaN,,NaN,,NaN,,main,2,2,1,neutral,negative,l,l,1,0.831190800003242,376.717991300044,377.728667700023,377.712018100021,None,376.717991300044,None,376.717991300044,None,376.717991300044,None,378.545280710043,None,378.545280710043,None,378.545280710043,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,14,104,13,,NaN,NaN,,NaN,,NaN,,main,2,2,2,positive,neutral,k,k,1,0.717760999978054,378.545623100013,379.545395500027,379.545395500027,None,378.545623100013,None,378.545623100013,None,378.545623100013,None,380.264441610029,None,380.264441610029,None,380.264441610029,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
positive,positive,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,15,105,2,,NaN,NaN,,NaN,,NaN,,main,1,1,1,positive,positive,j,j,1,0.812815000012051,380.26821770001,381.281319700007,381.264685600006,None,380.26821770001,None,380.26821770001,None,380.26821770001,None,382.078911310009,None,382.078911310009,None,382.078911310009,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,16,106,16,,NaN,NaN,,NaN,,NaN,,main,2,2,2,negative,neutral,k,k,1,0.731515299994498,382.082549500046,383.097893099999,383.078945200017,None,382.082549500046,None,382.082549500046,None,382.082549500046,None,383.812177710008,None,383.812177710008,None,383.812177710008,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,17,107,17,,NaN,NaN,,NaN,,NaN,,main,2,2,2,neutral,positive,j,j,1,0.664915799978189,383.815699700033,384.831140100025,384.814543100016,None,383.815699700033,None,383.815699700033,None,383.815699700033,None,385.478805910045,None,385.478805910045,None,385.478805910045,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,0,108,16,,NaN,NaN,,NaN,,NaN,,main,1,1,2,negative,neutral,k,k,1,0.630959299975075,385.497778400022,386.497889800055,386.481242800015,None,385.497778400022,None,385.497778400022,None,385.497778400022,None,387.112117310002,None,387.112117310002,None,387.112117310002,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
positive,negative,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,1,109,14,,NaN,NaN,,NaN,,NaN,,main,1,1,2,negative,positive,j,j,1,0.681297299975995,387.115443600051,388.128482400032,388.111815000011,None,387.115443600051,None,387.115443600051,None,387.115443600051,None,388.795063910022,None,388.795063910022,None,388.795063910022,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,2,110,10,,NaN,NaN,,NaN,,NaN,,main,2,2,2,neutral,neutral,k,k,1,0.635293400031514,388.795147700002,389.79515630001,389.79515630001,None,388.795147700002,None,388.795147700002,None,388.795147700002,None,390.430936110037,None,390.430936110037,None,390.430936110037,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
negative,positive,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,3,111,15,,NaN,NaN,,NaN,,NaN,,main,1,1,2,positive,negative,l,l,1,0.695022800005972,390.435034000024,391.445459800016,391.431097400025,None,390.435034000024,None,390.435034000024,None,390.435034000024,None,392.128695710044,None,392.128695710044,None,392.128695710044,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,4,112,3,,NaN,NaN,,NaN,,NaN,,main,2,2,1,neutral,negative,l,l,1,0.781758399971295,392.134898000048,393.147745600028,393.131071800017,None,392.134898000048,None,392.134898000048,None,392.134898000048,None,393.911951910012,None,393.911951910012,None,393.911951910012,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,5,113,13,,NaN,NaN,,NaN,,NaN,,main,1,1,2,positive,neutral,k,k,1,0.715939900022931,393.91554310004,394.93091590004,394.914265800035,None,393.91554310004,None,393.91554310004,None,393.91554310004,None,395.628601610026,None,395.628601610026,None,395.628601610026,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
negative,negative,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,6,114,9,,NaN,NaN,,NaN,,NaN,,main,1,1,2,negative,negative,l,l,1,0.766014399996493,395.640036700002,396.647516600031,396.630979600013,None,395.640036700002,None,395.640036700002,None,395.640036700002,None,397.39745811001,None,397.39745811001,None,397.39745811001,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
negative,negative,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,7,115,0,,NaN,NaN,,NaN,,NaN,,main,2,2,1,negative,negative,l,l,1,0.979334300034679,397.400483900041,398.411613800039,398.394949200039,None,397.400483900041,None,397.400483900041,None,397.400483900041,None,399.378185110056,None,399.378185110056,None,399.378185110056,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
positive,negative,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,8,116,5,,NaN,NaN,,NaN,,NaN,,main,1,1,1,negative,positive,j,j,1,0.848178100015502,399.378262800048,400.378276800038,400.378276800038,None,399.378262800048,None,399.378262800048,None,399.378262800048,None,401.228211309999,None,401.228211309999,None,401.228211309999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,9,117,8,,NaN,NaN,,NaN,,NaN,,main,1,1,1,neutral,positive,j,j,1,0.882047999999486,401.231201300048,402.23089950002,402.214208400052,None,401.231201300048,None,401.231201300048,None,401.231201300048,None,403.11181121,None,403.11181121,None,403.11181121,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,10,118,17,,NaN,NaN,,NaN,,NaN,,main,2,2,2,neutral,positive,j,j,1,0.69837280001957,403.117757700034,404.130783600034,404.114137100056,None,403.117757700034,None,403.117757700034,None,403.117757700034,None,404.811743410019,None,404.811743410019,None,404.811743410019,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
positive,positive,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,11,119,2,,NaN,NaN,,NaN,,NaN,,main,1,1,1,positive,positive,j,j,1,0.698199099977501,404.815228800057,405.830620700028,405.814110300038,None,404.815228800057,None,404.815228800057,None,404.815228800057,None,406.511730210046,None,406.511730210046,None,406.511730210046,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,12,120,12,,NaN,NaN,,NaN,,NaN,,main,1,1,2,neutral,negative,l,l,1,0.73096070002066,406.528562600026,407.530601700011,407.514111000055,None,406.528562600026,None,406.528562600026,None,406.528562600026,None,408.245021810004,None,408.245021810004,None,408.245021810004,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,13,121,7,,NaN,NaN,,NaN,,NaN,,main,2,2,1,negative,neutral,k,k,1,0.780475199979264,408.249138600018,409.261370200024,409.244819100015,None,408.249138600018,None,408.249138600018,None,408.249138600018,None,410.027973010036,None,410.027973010036,None,410.027973010036,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
negative,positive,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,14,122,6,,NaN,NaN,,NaN,,NaN,,main,2,2,1,positive,negative,l,j,0,1.06515420001233,410.028044500039,411.028025500011,411.028025500011,None,410.028044500039,None,410.028044500039,None,410.028044500039,None,412.094726500043,None,412.094726500043,None,412.094726500043,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,15,123,1,,NaN,NaN,,NaN,,NaN,,main,2,2,1,neutral,neutral,k,k,1,1.23436380003113,413.095087400055,414.09720660001,414.080673700024,None,413.095087400055,None,413.095087400055,None,413.095087400055,None,415.32821571001,None,415.32821571001,None,415.32821571001,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,16,124,4,,NaN,NaN,,NaN,,NaN,,main,2,2,1,positive,neutral,k,k,1,0.731319599959534,415.332075700047,416.347211600048,416.3305865,None,415.332075700047,None,415.332075700047,None,415.332075700047,None,417.061484710028,None,417.061484710028,None,417.061484710028,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
positive,positive,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,17,125,11,,NaN,NaN,,NaN,,NaN,,main,1,1,2,positive,positive,j,j,1,0.88157049997244,417.064903400023,418.08051130001,418.061558300047,None,417.064903400023,None,417.064903400023,None,417.064903400023,None,418.944765710045,None,418.944765710045,None,418.944765710045,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,0,126,17,,NaN,NaN,,NaN,,NaN,,main,1,1,2,neutral,positive,j,j,1,0.713860799965914,418.950844900042,419.961143000051,419.944468800037,None,418.950844900042,None,418.950844900042,None,418.950844900042,None,420.66107261001,None,420.66107261001,None,420.66107261001,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,1,127,4,,NaN,NaN,,NaN,,NaN,,main,2,2,1,positive,neutral,k,k,1,0.700974299979862,420.661867700052,421.661194200045,421.661194200045,None,420.661867700052,None,420.661867700052,None,420.661867700052,None,422.36357471004,None,422.36357471004,None,422.36357471004,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,2,128,3,,NaN,NaN,,NaN,,NaN,,main,1,1,1,neutral,negative,l,l,1,0.91289560002042,422.36633020005,423.380345400015,423.363804400025,None,422.36633020005,None,422.36633020005,None,422.36633020005,None,424.278034010035,None,424.278034010035,None,424.278034010035,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,2022-05-02_10h58.01.618,Main,2022.1.1,61.0870936875341
