target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,fl_inst_resp_keys,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_started,mouse_stopped,sound_1_started,sound_1_stopped,no_text_started,no_text_stopped,yes_text_started,yes_text_stopped,mouse_2_x,mouse_2_y,mouse_2_leftButton,mouse_2_midButton,mouse_2_rightButton,mouse_2_started,mouse_2_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,id_,age_,gender_,date,expName,psychopyVersion,frameRate
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,17,125,7,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,1,1,1,negative,neutral,k,k,1,1.45619060000172,432.414581399993,433.45853090001,433.409341399994,None,432.414581399993,None,432.414581399993,None,432.414581399993,None,434.800083620002,None,434.800083620002,None,434.800083620002,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
positive,negative,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,0,126,14,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,2,negative,positive,l,l,1,1.05891459999839,434.88024649999,435.949683299987,435.901803699991,None,434.88024649999,None,434.88024649999,None,434.88024649999,None,436.870271320012,None,436.870271320012,None,436.870271320012,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
negative,negative,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,1,127,9,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,1,1,2,negative,negative,j,j,1,0.865709900012007,436.939542100008,438.0141687,437.966286400013,None,436.939542100008,None,436.939542100008,None,436.939542100008,None,438.754389219999,None,438.754389219999,None,438.754389219999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
positive,positive,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,2,128,2,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,1,positive,positive,l,l,1,0.971641399984946,438.78327710001,439.822287499992,439.822287499992,None,438.78327710001,None,438.78327710001,None,438.78327710001,None,440.734315229993,None,440.734315229993,None,440.734315229993,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,3,129,3,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,1,1,1,neutral,negative,j,j,1,1.17140010002186,440.789409699995,441.862891099998,441.820892799995,None,440.789409699995,None,440.789409699995,None,440.789409699995,None,442.911850419996,None,442.911850419996,None,442.911850419996,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,4,130,12,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,1,1,2,neutral,negative,j,j,1,0.927042199997231,442.9759165,444.043201799999,443.995560300013,None,442.9759165,None,442.9759165,None,442.9759165,None,444.845873520005,None,444.845873520005,None,444.845873520005,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
negative,negative,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,5,131,0,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,1,negative,negative,j,j,1,1.08512040000642,444.879315700004,445.929419099994,445.880472399993,None,444.879315700004,None,444.879315700004,None,444.879315700004,None,446.935354930005,None,446.935354930005,None,446.935354930005,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,6,132,8,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,1,1,1,neutral,positive,l,l,1,0.900365400011651,447.0035279,448.078108099988,448.030617000011,None,447.0035279,None,447.0035279,None,447.0035279,None,448.851101929997,None,448.851101929997,None,448.851101929997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
positive,positive,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,7,133,11,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,2,positive,positive,l,l,1,0.823367600009078,448.920985500008,449.981562400004,449.932478400005,None,448.920985500008,None,448.920985500008,None,448.920985500008,None,450.682547919999,None,450.682547919999,None,450.682547919999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
positive,negative,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,8,134,5,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,1,negative,positive,l,l,1,1.00288069999078,450.728820899996,451.794690599985,451.7432348,None,450.728820899996,None,450.728820899996,None,450.728820899996,None,452.686303419987,None,452.686303419987,None,452.686303419987,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,9,135,1,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,1,1,1,neutral,neutral,k,k,1,0.825900800002273,452.731479999988,453.810071199987,453.760892699996,None,452.731479999988,None,452.731479999988,None,452.731479999988,None,454.525119530014,None,454.525119530014,None,454.525119530014,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
negative,positive,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,10,136,15,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,2,positive,negative,j,j,1,0.82036589999916,454.597826599987,455.665685699991,455.619058899989,None,454.597826599987,None,454.597826599987,None,454.597826599987,None,456.363607519999,None,456.363607519999,None,456.363607519999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,11,137,4,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,1,1,1,positive,neutral,k,k,1,0.808880299999146,456.4037121,457.469248400012,457.422962200013,None,456.4037121,None,456.4037121,None,456.4037121,None,458.17573171999,None,458.17573171999,None,458.17573171999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,12,138,17,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,2,neutral,positive,l,l,1,0.849729700013995,458.211969600001,459.26960520001,459.227321099985,None,458.211969600001,None,458.211969600001,None,458.211969600001,None,460.02979011999,None,460.02979011999,None,460.02979011999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,13,139,10,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,1,1,2,neutral,neutral,k,k,1,0.751244399987627,460.063396199985,461.097638899984,461.097638899984,None,460.063396199985,None,460.063396199985,None,460.063396199985,None,461.787523219996,None,461.787523219996,None,461.787523219996,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,14,140,13,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,1,1,2,positive,neutral,k,k,1,0.741700799990213,461.831932300003,462.894933200005,462.840180700005,None,461.831932300003,None,461.831932300003,None,461.831932300003,None,463.523239810002,None,463.523239810002,None,463.523239810002,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,15,141,7,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,1,1,1,negative,neutral,k,k,1,0.941613400005735,463.568695099995,464.599220000004,464.599220000004,None,463.568695099995,None,463.568695099995,None,463.568695099995,None,465.474517409992,None,465.474517409992,None,465.474517409992,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
negative,positive,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,16,142,6,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,1,positive,negative,j,j,1,0.94350999998278,465.508763199992,466.58846259999,466.535311199987,None,465.508763199992,None,465.508763199992,None,465.508763199992,None,467.434221219993,None,467.434221219993,None,467.434221219993,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,17,143,16,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,2,negative,neutral,k,k,1,0.745193799986737,467.4753662,468.550773399998,468.504420199984,None,467.4753662,None,467.4753662,None,467.4753662,None,469.188265519997,None,469.188265519997,None,469.188265519997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
positive,negative,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,0,144,14,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,2,negative,positive,l,l,1,0.811919499974465,469.229792600003,470.300854500005,470.252685099986,None,469.229792600003,None,469.229792600003,None,469.229792600003,None,471.004490220011,None,471.004490220011,None,471.004490220011,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
negative,negative,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,145,9,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,2,negative,negative,j,j,1,0.786442999989958,471.035900799994,472.104464100004,472.056532899995,None,471.035900799994,None,471.035900799994,None,471.035900799994,None,472.798166819988,None,472.798166819988,None,472.798166819988,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
positive,positive,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,146,2,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,1,positive,positive,l,l,1,0.886864499974763,472.847412100004,473.904884999996,473.857109200006,None,472.847412100004,None,472.847412100004,None,472.847412100004,None,474.687137719995,None,474.687137719995,None,474.687137719995,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
negative,negative,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,3,147,0,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,1,negative,negative,j,j,1,0.805904099979671,474.721467299998,475.761130700004,475.761130700004,None,474.721467299998,None,474.721467299998,None,474.721467299998,None,476.502272220003,None,476.502272220003,None,476.502272220003,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,148,13,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,1,1,2,positive,neutral,k,k,1,0.720310600008816,476.569953800004,477.630618399999,477.543891100009,None,476.569953800004,None,476.569953800004,None,476.569953800004,None,478.231815319997,None,478.231815319997,None,478.231815319997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,5,149,10,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,1,1,2,neutral,neutral,k,k,1,0.721103999996558,478.264743000007,479.332599599991,479.286238500004,None,478.264743000007,None,478.264743000007,None,478.264743000007,None,479.960703620012,None,479.960703620012,None,479.960703620012,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,6,150,3,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,1,1,1,neutral,negative,j,j,1,0.906929000018863,479.999834199989,481.07363910001,481.029260100011,None,479.999834199989,None,479.999834199989,None,479.999834199989,None,481.859307510004,None,481.859307510004,None,481.859307510004,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
positive,positive,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,7,151,11,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,1,1,2,positive,positive,l,l,1,0.811365800007479,481.912956699991,482.96381429999,482.915281299996,None,481.912956699991,None,481.912956699991,None,481.912956699991,None,483.674731310003,None,483.674731310003,None,483.674731310003,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
positive,negative,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,8,152,5,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,1,negative,positive,l,l,1,0.795480800006771,483.720438499993,484.791704200004,484.744171900005,None,483.720438499993,None,483.720438499993,None,483.720438499993,None,485.484462220012,None,485.484462220012,None,485.484462220012,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,9,153,12,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,2,neutral,negative,j,j,1,1.97608500000206,485.531108099996,486.60651740001,486.558729799988,None,485.531108099996,None,485.531108099996,None,485.531108099996,None,488.478757500008,None,488.478757500008,None,488.478757500008,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,10,154,17,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,1,1,2,neutral,positive,l,l,1,0.981143000011798,489.54491170001,490.58765120001,490.52149069999,None,489.54491170001,None,489.54491170001,None,489.54491170001,None,491.470468229998,None,491.470468229998,None,491.470468229998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,11,155,7,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,1,1,1,negative,neutral,k,k,1,0.702600699994946,491.528374599991,492.601093200006,492.505114600004,None,491.528374599991,None,491.528374599991,None,491.528374599991,None,493.178928219999,None,493.178928219999,None,493.178928219999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
negative,positive,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,12,156,6,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,1,positive,negative,j,j,1,0.745596699998714,493.231209099991,494.278065199993,494.235375599994,None,493.231209099991,None,493.231209099991,None,493.231209099991,None,494.929085820005,None,494.929085820005,None,494.929085820005,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,13,157,1,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,1,neutral,neutral,k,k,1,0.771914600016316,495.016200399987,496.038169700012,496.012675500009,None,495.016200399987,None,495.016200399987,None,495.016200399987,None,496.719060619996,None,496.719060619996,None,496.719060619996,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,14,158,16,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,2,negative,neutral,k,k,1,0.807727999985218,496.762459299993,497.82951380001,497.783553799993,None,496.762459299993,None,496.762459299993,None,496.762459299993,None,498.529984930012,None,498.529984930012,None,498.529984930012,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,15,159,4,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,1,positive,neutral,k,k,1,0.766453599993838,498.605470999988,499.675728400005,499.627897400002,None,498.605470999988,None,498.605470999988,None,498.605470999988,None,500.308409020008,None,500.308409020008,None,500.308409020008,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
negative,positive,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,16,160,15,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,2,positive,negative,j,j,1,0.772171899996465,500.340271099994,501.407108499989,501.359523199993,None,500.340271099994,None,500.340271099994,None,500.340271099994,None,502.088897520001,None,502.088897520001,None,502.088897520001,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,17,161,8,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,1,neutral,positive,l,l,1,0.939439900015714,502.11592869999,503.163849100005,503.115505199996,None,502.11592869999,None,502.11592869999,None,502.11592869999,None,504.020340820012,None,504.020340820012,None,504.020340820012,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
negative,positive,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,0,162,15,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,2,positive,negative,j,j,1,0.86791760000051,504.094863300008,505.158807900007,505.108947100001,None,504.094863300008,None,504.094863300008,None,504.094863300008,None,505.910067630006,None,505.910067630006,None,505.910067630006,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
positive,negative,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,1,163,14,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,2,negative,positive,l,l,1,0.989255599997705,505.981328499998,507.032799200009,506.985662599996,None,505.981328499998,None,505.981328499998,None,505.981328499998,None,507.911189019994,None,507.911189019994,None,507.911189019994,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,2,164,1,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,1,neutral,neutral,k,k,1,0.809512399981031,507.981761300005,509.034476700006,508.98655500001,None,507.981761300005,None,507.981761300005,None,507.981761300005,None,509.73349563001,None,509.73349563001,None,509.73349563001,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,3,165,8,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,1,1,1,neutral,positive,l,l,1,0.857534700015094,509.789520999999,510.850839399995,510.802321900002,None,509.789520999999,None,509.789520999999,None,509.789520999999,None,511.596921230003,None,511.596921230003,None,511.596921230003,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,4,166,13,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,2,positive,neutral,k,k,1,0.845057600003202,511.673658999993,512.734338300012,512.686531299987,None,511.673658999993,None,511.673658999993,None,511.673658999993,None,513.454147420003,None,513.454147420003,None,513.454147420003,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
negative,negative,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,5,167,9,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,main,2,2,2,negative,negative,j,j,1,0.813830099999905,513.482740500011,514.552375300002,514.505550200003,None,513.482740500011,None,513.482740500011,None,513.482740500011,None,515.26698342,None,515.26698342,None,515.26698342,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.997720086738
